,city_name,country,cloudiness,humidity,lat,lng,temperature,max_temp,wind speed,date
336,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
337,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
338,verkhnyaya inta,ru,92.0,93.0,65.99,60.32,33.75,33.75,5.84,1554322919
339,hermanus,za,80.0,72.0,-34.42,19.24,61.0,61.0,2.93,1554322574
340,chokurdakh,ru,0.0,55.0,70.62,147.9,-0.64,-0.64,2.93,1554322871
341,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
342,carmo do rio claro,br,64.0,72.0,-20.97,-46.12,76.95,76.95,3.38,1554322877
344,mindelo,cv,40.0,49.0,16.89,-24.98,73.4,73.4,23.04,1554318000
345,newport,us,20.0,27.0,41.49,-71.31,58.32,64.0,21.92,1554322843
346,cape town,za,0.0,88.0,-33.93,18.42,61.5,64.99,3.36,1554322879
347,mangai,cd,8.0,94.0,-4.07,19.59,76.23,76.23,2.71,1554322921
350,jamestown,sh,92.0,100.0,-15.94,-5.72,76.77,76.77,18.92,1554322868
351,hofn,is,90.0,86.0,64.25,-15.21,33.8,33.8,6.93,1554318000
352,busselton,au,56.0,50.0,-33.64,115.35,63.66,64.0,18.59,1554322584
354,nuuk,gl,75.0,68.0,64.17,-51.74,24.37,24.8,17.22,1554322322
355,esperance,au,75.0,88.0,-33.86,121.89,64.4,64.4,13.87,1554318000
356,port alfred,za,12.0,95.0,-33.59,26.89,64.99,64.99,3.0,1554322608
357,albany,au,75.0,100.0,-35.02,117.88,60.8,60.8,3.36,1554318000
358,saskylakh,ru,56.0,83.0,71.97,114.09,21.87,21.87,5.39,1554322864
359,luderitz,na,0.0,87.0,-26.65,15.16,58.77,58.77,11.43,1554322836
360,punta arenas,cl,40.0,52.0,-53.16,-70.91,45.03,46.4,31.09,1554322348
362,yellowknife,ca,20.0,59.0,62.45,-114.38,5.04,7.0,12.75,1554322545
363,rikitea,pf,12.0,100.0,-23.12,-134.97,74.7,74.7,20.49,1554322858
364,qaanaaq,gl,64.0,88.0,77.48,-69.36,11.97,11.97,5.95,1554322804
366,ushuaia,ar,75.0,70.0,-54.81,-68.31,44.6,44.6,27.51,1554318000
367,victoria,sc,20.0,74.0,-4.62,55.45,84.2,84.2,4.7,1554321600
368,lafia,ng,0.0,54.0,8.5,8.51,79.65,79.65,3.6,1554322925
